Comment,Designator,Footprint,LCSC,Quantity
BQ24075RGT,U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,C15464,1
18p,"C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1549,2
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
10u,L2,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C223249,1
yellow,LED1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296,1
green,LED2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
3k9,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23018,1
4u7,"C2,C3,C4,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C23733,4
10k,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,1
47k,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792,1
1k5,"R3,R5,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25867,3
5k1,"R1,R2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905,2
750 mA,F1,Fuse_0603_1608Metric,C2687878,1
SRV05-4,U3,SOT-23-6-routable,C2836319,1
32.768kHz,Y1,Q13FC13500004,C32346,1
E73-2G4M08S1C,U1,nRF52840_E73-2G4M08S1C,C356849,1
EVQ-P7C01P,"PWR1,RST1",EVQ-P7C01P,C388883,2
1u,"C1,C6",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,2
SWD,J2,PinHeader_1x06_P2.54mm_Horizontal,C706869,1
BLM15PX121SN1D,L1,L_0402_1005Metric,C88970,1
nice!view,J4,nice!view_pads,,1
10k Thermistor,TH1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
